training_idx,model_name,optimizer_args,loss_args,data_set_info,best_results,date_time,training_time_seconds,training_time,n_epochs
0,Conv-1.0-64x64,"{'name': 'Adam', 'learning_rate': 0.001, 'decay': 0.0, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}","{'reduction': 'auto', 'name': 'L3SSIM', '_allow_sum_over_batch_size': True, '_name_scope': 'L3SSIM', 'max_val': 255, 'filter_size': 11, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03, 'weight_for_edges': 5, 'weight_for_texture': 1, 'weight_for_smooth': 1, 'threshold_for_edges': 0.12, 'threshold_for_textures': 0.06, 'keep_padding': True}","{'name': 'rafael_cifar_10', 'parameters': {}}","{'loss': 0.22096750697493553, 'ssim_metric': 0.7363651895999909, 'three_ssim': 0.7672663029670715, 'psnrb': 22.362015047454832, 'val_loss': 0.2214731820821762, 'val_ssim_metric': 0.7360979396104813, 'val_three_ssim': 0.766825269818306, 'val_psnrb': 22.355619945526122}",2023-04-21 11:07,339.9074285030365,0:05:39.907429,15
1,Conv-1.1-64x64,"{'name': 'Adam', 'learning_rate': 0.001, 'decay': 0.0, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}","{'reduction': 'auto', 'name': 'L3SSIM', '_allow_sum_over_batch_size': True, '_name_scope': 'L3SSIM', 'max_val': 255, 'filter_size': 11, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03, 'weight_for_edges': 5, 'weight_for_texture': 1, 'weight_for_smooth': 1, 'threshold_for_edges': 0.12, 'threshold_for_textures': 0.06, 'keep_padding': True}","{'name': 'rafael_cifar_10', 'parameters': {}}","{'loss': 0.1989151703119278, 'ssim_metric': 0.7525066868305206, 'three_ssim': 0.7888509052038193, 'psnrb': 23.166318370056153, 'val_loss': 0.19963458836078643, 'val_ssim_metric': 0.752567311167717, 'val_three_ssim': 0.7886512633562088, 'val_psnrb': 23.193086029052733}",2023-04-21 14:04,391.1544172763825,0:06:31.154417,16
2,AutoEncoder-0.2-64x64,"{'name': 'Adam', 'learning_rate': 0.001, 'decay': 0.0, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}","{'reduction': 'auto', 'name': 'L3SSIM', '_allow_sum_over_batch_size': True, '_name_scope': 'L3SSIM', 'max_val': 255, 'filter_size': 11, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03, 'weight_for_edges': 3, 'weight_for_texture': 1, 'weight_for_smooth': 1, 'threshold_for_edges': 0.12, 'threshold_for_textures': 0.06, 'keep_padding': True}","{'name': 'rafael_cifar_10', 'parameters': {}}","{'loss': 0.14922087075710297, 'ssim_metric': 0.8188644692897796, 'three_ssim': 0.850778617811203, 'psnrb': 25.645568253326417, 'val_loss': 0.1491098993420601, 'val_ssim_metric': 0.8192543872594833, 'val_three_ssim': 0.8508902438879014, 'val_psnrb': 26.093883953094483}",2023-04-21 14:59,1043.1848978996277,0:17:23.184898,40
3,Conv-3.2-64x64,"{'name': 'Adam', 'learning_rate': 0.001, 'decay': 0.0, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}","{'reduction': 'auto', 'name': 'L3SSIM', '_allow_sum_over_batch_size': True, '_name_scope': 'L3SSIM', 'max_val': 255, 'filter_size': 11, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03, 'weight_for_edges': 3, 'weight_for_texture': 1, 'weight_for_smooth': 1, 'threshold_for_edges': 0.12, 'threshold_for_textures': 0.06, 'keep_padding': True}","{'name': 'rafael_cifar_10', 'parameters': {}}","{'loss': 0.1546075367629528, 'ssim_metric': 0.8116228906869888, 'three_ssim': 0.8453924259662629, 'psnrb': 25.045238088989258, 'val_loss': 0.15464373585581778, 'val_ssim_metric': 0.8124179711341858, 'val_three_ssim': 0.8453564065694809, 'val_psnrb': 25.49929598236084}",2023-04-21 15:10,659.5884666442871,0:10:59.588467,25
4,Conv-1.1-64x64,"{'name': 'Adam', 'learning_rate': 0.001, 'decay': 0.0, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}","{'reduction': 'auto', 'name': 'L3SSIM', '_allow_sum_over_batch_size': True, '_name_scope': 'L3SSIM', 'max_val': 255, 'filter_size': 11, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03, 'weight_for_edges': 3, 'weight_for_texture': 1, 'weight_for_smooth': 1, 'threshold_for_edges': 0.12, 'threshold_for_textures': 0.06, 'keep_padding': True}","{'name': 'rafael_cifar_10', 'parameters': {}}","{'loss': 0.20494860045909882, 'ssim_metric': 0.7546257058620452, 'three_ssim': 0.7950516830205917, 'psnrb': 23.188811919403076, 'val_loss': 0.20559583052992822, 'val_ssim_metric': 0.7535704597234726, 'val_three_ssim': 0.7944040627479553, 'val_psnrb': 23.20479239654541}",2023-04-21 15:15,337.6633687019348,0:05:37.663369,14
5,Conv-2.1-64x64,"{'name': 'Adam', 'learning_rate': 0.001, 'decay': 0.0, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}","{'reduction': 'auto', 'name': 'L3SSIM', '_allow_sum_over_batch_size': True, '_name_scope': 'L3SSIM', 'max_val': 255, 'filter_size': 11, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03, 'weight_for_edges': 3, 'weight_for_texture': 1, 'weight_for_smooth': 1, 'threshold_for_edges': 0.12, 'threshold_for_textures': 0.06, 'keep_padding': True}","{'name': 'rafael_cifar_10', 'parameters': {}}","{'loss': 0.15932998905181886, 'ssim_metric': 0.8068187742948532, 'three_ssim': 0.8406695785284042, 'psnrb': 24.487923741149903, 'val_loss': 0.15949359756708145, 'val_ssim_metric': 0.8072456097602845, 'val_three_ssim': 0.8405065184831619, 'val_psnrb': 25.522109367370607}",2023-04-21 15:31,934.6065452098846,0:15:34.606545,35
6,Conv-3.0-64x64,"{'name': 'Adam', 'learning_rate': 0.001, 'decay': 0.0, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}","{'reduction': 'auto', 'name': 'L3SSIM', '_allow_sum_over_batch_size': True, '_name_scope': 'L3SSIM', 'max_val': 255, 'filter_size': 11, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03, 'weight_for_edges': 3, 'weight_for_texture': 1, 'weight_for_smooth': 1, 'threshold_for_edges': 0.12, 'threshold_for_textures': 0.06, 'keep_padding': True}","{'name': 'rafael_cifar_10', 'parameters': {}}","{'loss': 0.16446691277623177, 'ssim_metric': 0.7952192516803741, 'three_ssim': 0.8355329725503922, 'psnrb': 24.900265259552, 'val_loss': 0.16485951766371726, 'val_ssim_metric': 0.7948181018829346, 'val_three_ssim': 0.8351404947042466, 'val_psnrb': 25.487405868530274}",2023-04-21 15:41,586.364705324173,0:09:46.364705,23
7,Conv-1.2-64x64,"{'name': 'Adam', 'learning_rate': 0.001, 'decay': 0.0, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}","{'reduction': 'auto', 'name': 'L3SSIM', '_allow_sum_over_batch_size': True, '_name_scope': 'L3SSIM', 'max_val': 255, 'filter_size': 11, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03, 'weight_for_edges': 3, 'weight_for_texture': 1, 'weight_for_smooth': 1, 'threshold_for_edges': 0.12, 'threshold_for_textures': 0.06, 'keep_padding': True}","{'name': 'rafael_cifar_10', 'parameters': {}}","{'loss': 0.24074230691194534, 'ssim_metric': 0.7518870503187179, 'three_ssim': 0.7592578688144683, 'psnrb': 20.42989072189331, 'val_loss': 0.24159463074803353, 'val_ssim_metric': 0.751423844575882, 'val_three_ssim': 0.7584054223299026, 'val_psnrb': 20.45855497741699}",2023-04-21 15:48,448.5554850101471,0:07:28.555485,19
8,Conv-12.0-64x64,"{'name': 'Adam', 'learning_rate': 0.001, 'decay': 0.0, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}","{'reduction': 'auto', 'name': 'L3SSIM', '_allow_sum_over_batch_size': True, '_name_scope': 'L3SSIM', 'max_val': 255, 'filter_size': 11, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03, 'weight_for_edges': 3, 'weight_for_texture': 1, 'weight_for_smooth': 1, 'threshold_for_edges': 0.12, 'threshold_for_textures': 0.06, 'keep_padding': True}","{'name': 'rafael_cifar_10', 'parameters': {}}","{'loss': 0.12085921128988265, 'ssim_metric': 0.8534264004707336, 'three_ssim': 0.8791408364534378, 'psnrb': 26.979879179382323, 'val_loss': 0.12187426613271236, 'val_ssim_metric': 0.8526638501882553, 'val_three_ssim': 0.8781258428096771, 'val_psnrb': 27.384913280487062}",2023-04-21 16:40,3092.506230592728,0:51:32.506231,59
9,Conv-1.0-64x64,"{'name': 'Adam', 'learning_rate': 0.001, 'decay': 0.0, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}","{'reduction': 'auto', 'name': 'L3SSIM', '_allow_sum_over_batch_size': True, '_name_scope': 'L3SSIM', 'max_val': 255, 'filter_size': 11, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03, 'weight_for_edges': 3, 'weight_for_texture': 1, 'weight_for_smooth': 1, 'threshold_for_edges': 0.12, 'threshold_for_textures': 0.06, 'keep_padding': True}","{'name': 'rafael_cifar_10', 'parameters': {}}","{'loss': 0.2265891003370285, 'ssim_metric': 0.7375148432970047, 'three_ssim': 0.7734109654426574, 'psnrb': 22.438461976623536, 'val_loss': 0.22717887023091315, 'val_ssim_metric': 0.7370568062067032, 'val_three_ssim': 0.772820968747139, 'val_psnrb': 22.419900886535643}",2023-04-21 16:51,654.4721443653107,0:10:54.472144,28
10,Conv-1.3-64x64,"{'name': 'Adam', 'learning_rate': 0.001, 'decay': 0.0, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}","{'reduction': 'auto', 'name': 'L3SSIM', '_allow_sum_over_batch_size': True, '_name_scope': 'L3SSIM', 'max_val': 255, 'filter_size': 11, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03, 'weight_for_edges': 3, 'weight_for_texture': 1, 'weight_for_smooth': 1, 'threshold_for_edges': 0.12, 'threshold_for_textures': 0.06, 'keep_padding': True}","{'name': 'rafael_cifar_10', 'parameters': {}}","{'loss': 0.2091197703719139, 'ssim_metric': 0.7519259526968002, 'three_ssim': 0.7908800307512284, 'psnrb': 22.969615742492675, 'val_loss': 0.2098187407553196, 'val_ssim_metric': 0.7515041732788086, 'val_three_ssim': 0.7901813601255416, 'val_psnrb': 22.995737613677978}",2023-04-21 16:57,357.4189238548279,0:05:57.418924,15
11,AutoEncoder-0.1-64x64,"{'name': 'Adam', 'learning_rate': 0.001, 'decay': 0.0, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}","{'reduction': 'auto', 'name': 'L3SSIM', '_allow_sum_over_batch_size': True, '_name_scope': 'L3SSIM', 'max_val': 255, 'filter_size': 11, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03, 'weight_for_edges': 3, 'weight_for_texture': 1, 'weight_for_smooth': 1, 'threshold_for_edges': 0.12, 'threshold_for_textures': 0.06, 'keep_padding': True}","{'name': 'rafael_cifar_10', 'parameters': {}}","{'loss': 0.14920901816487311, 'ssim_metric': 0.8184827340126037, 'three_ssim': 0.8507906799077988, 'psnrb': 25.74272681121826, 'val_loss': 0.14932536473870278, 'val_ssim_metric': 0.818212262392044, 'val_three_ssim': 0.8506746938228608, 'val_psnrb': 26.200900463104247}",2023-04-21 17:12,913.086484670639,0:15:13.086485,35
12,Unet2.2-64x64,"{'name': 'Adam', 'learning_rate': 0.001, 'decay': 0.0, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}","{'reduction': 'auto', 'name': 'L3SSIM', '_allow_sum_over_batch_size': True, '_name_scope': 'L3SSIM', 'max_val': 255, 'filter_size': 11, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03, 'weight_for_edges': 3, 'weight_for_texture': 1, 'weight_for_smooth': 1, 'threshold_for_edges': 0.12, 'threshold_for_textures': 0.06, 'keep_padding': True}","{'name': 'rafael_cifar_10', 'parameters': {}}","{'loss': 0.11564109911918641, 'ssim_metric': 0.8594098966598511, 'three_ssim': 0.8843589141130448, 'psnrb': 26.78322964706421, 'val_loss': 0.11861128747463226, 'val_ssim_metric': 0.85627044069767, 'val_three_ssim': 0.8813888773918152, 'val_psnrb': 27.439924976348877}",2023-04-21 21:03,13880.269692659378,3:51:20.269693,54
13,Conv-5.0-64x64,"{'name': 'Adam', 'learning_rate': 0.001, 'decay': 0.0, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}","{'reduction': 'auto', 'name': 'L3SSIM', '_allow_sum_over_batch_size': True, '_name_scope': 'L3SSIM', 'max_val': 255, 'filter_size': 11, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03, 'weight_for_edges': 3, 'weight_for_texture': 1, 'weight_for_smooth': 1, 'threshold_for_edges': 0.12, 'threshold_for_textures': 0.06, 'keep_padding': True}","{'name': 'rafael_cifar_10', 'parameters': {}}","{'loss': 0.14076579502224923, 'ssim_metric': 0.8294971395492554, 'three_ssim': 0.8592339483976364, 'psnrb': 26.158389361572265, 'val_loss': 0.1406871086061001, 'val_ssim_metric': 0.830189776301384, 'val_three_ssim': 0.8593127398490906, 'val_psnrb': 26.540585021972657}",2023-04-21 21:27,1403.6261677742004,0:23:23.626168,48
