training_idx,model_name,optimizer,optimizer_kwargs,loss,loss_kwargs,compile_kwargs,fit_kwargs,dataset,dataset_description,dataset_params,results,date,time
0,Discriminator-AutoEncoder-1.0-64x64,Adam,"{'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}",BinaryCrossentropy,,"{'loss_weights': None, 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 11, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",discriminator_training_set,images with label 1 and 0 for real and fake imgs respectively,"{'training_idx': 1, 'generator_name': None, 'custom_objs': None, 'dataset': 'rafael_cifar_10'}","{'best_loss': 4.3891697032449883e-07, 'best_loss_epoch': 2, 'best_val_loss': 4.199431214753944e-24, 'best_val_loss_epoch': 0, 'best_accuracy': 1.0, 'best_accuracy_epoch': 2, 'best_val_accuracy': 1.0, 'best_val_accuracy_epoch': 0, 'last_loss': 0.0032876622863113, 'last_accuracy': 0.9997299909591676, 'last_epoch': 10}",2022-01-22,19:53
1,AutoEncoder-1.0-64x64,Adam,"{'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}",AdversarialLoss,{'training_idx': 0},"{'loss_weights': None, 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 11, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",rafael_cifar_10,Cifar 10 with bad quality,{},"{'best_loss': 0.0, 'best_loss_epoch': 4, 'best_val_loss': 0.0, 'best_val_loss_epoch': 0, 'best_ssim_metric': 0.3657627999782562, 'best_ssim_metric_epoch': 0, 'best_val_ssim_metric': 0.3672763109207153, 'best_val_ssim_metric_epoch': 0, 'last_loss': 7.421252990725378e-36, 'last_ssim_metric': 0.0818838104605674, 'last_epoch': 10}",2022-01-22,19:53
2,Discriminator-AutoEncoder-1.0-64x64,Adam,"{'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}",BinaryCrossentropy,,"{'loss_weights': None, 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 78, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",discriminator_training_set,images with label 1 and 0 for real and fake imgs respectively,"{'training_idx': 8, 'generator_name': None, 'custom_objs': None, 'dataset': 'rafael_cifar_10'}","{'best_loss': 0.0044150403700768, 'best_loss_epoch': 55, 'best_val_loss': 0.0005956389941275, 'best_val_loss_epoch': 0, 'best_accuracy': 0.9996399879455566, 'best_accuracy_epoch': 0, 'best_val_accuracy': 0.9999499917030334, 'best_val_accuracy_epoch': 0, 'last_loss': 0.0119655923917889, 'last_accuracy': 0.9972599744796752, 'last_epoch': 77}",2022-01-26,00:56
3,AutoEncoder-1.0-64x64,Adam,"{'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}",MeanAbsoluteError+AdversarialLoss,"[None, {'training_idx': 2}]","{'loss_weights': [1, 1], 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 33, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",rafael_cifar_10,Cifar 10 with bad quality,{},"{'best_loss': 8.293303489685059, 'best_loss_epoch': 32, 'best_val_loss': 8.279206275939941, 'best_val_loss_epoch': 21, 'best_ssim_metric': 0.835669219493866, 'best_ssim_metric_epoch': 32, 'best_val_ssim_metric': 0.8361266851425171, 'best_val_ssim_metric_epoch': 31, 'last_loss': 8.293303489685059, 'last_ssim_metric': 0.835669219493866, 'last_epoch': 32}",2022-01-23,11:16
4,AutoEncoder-1.0-64x64,Adam,"{'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}",MeanAbsoluteError,,"{'loss_weights': None, 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 37, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",rafael_cifar_10,Cifar 10 with bad quality,{},"{'best_loss': 8.274096488952637, 'best_loss_epoch': 34, 'best_val_loss': 8.196535110473633, 'best_val_loss_epoch': 35, 'best_ssim_metric': 0.8362252116203308, 'best_ssim_metric_epoch': 36, 'best_val_ssim_metric': 0.8371945023536682, 'best_val_ssim_metric_epoch': 31, 'last_loss': 8.279142379760742, 'last_ssim_metric': 0.8362252116203308, 'last_epoch': 36}",2022-01-23,15:30
5,AutoEncoder-1.0-64x64,Adam,"{'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}",MeanAbsoluteError+AdversarialLoss,"[None, {'training_idx': 2}]","{'loss_weights': [1, 5], 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 13, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",rafael_cifar_10,Cifar 10 with bad quality,{},"{'best_loss': 8.40916633605957, 'best_loss_epoch': 12, 'best_val_loss': 8.336992263793945, 'best_val_loss_epoch': 12, 'best_ssim_metric': 0.8327251672744751, 'best_ssim_metric_epoch': 12, 'best_val_ssim_metric': 0.8330665230751038, 'best_val_ssim_metric_epoch': 9, 'last_loss': 8.40916633605957, 'last_ssim_metric': 0.8327251672744751, 'last_epoch': 12}",2022-01-23,15:48
6,AutoEncoder-1.0-64x64,Adam,"{'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}",LSSIM,,"{'loss_weights': [1, 5], 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 5, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",rafael_cifar_10,Cifar 10 with bad quality,{},"{'best_loss': 0.1629804074764251, 'best_loss_epoch': 4, 'best_val_loss': 0.1626085638999939, 'best_val_loss_epoch': 4, 'best_ssim_metric': 0.8370199203491211, 'best_ssim_metric_epoch': 4, 'best_val_ssim_metric': 0.8373916745185852, 'best_val_ssim_metric_epoch': 4, 'last_loss': 0.1629804074764251, 'last_ssim_metric': 0.8370199203491211, 'last_epoch': 4}",2022-01-23,15:52
7,AutoEncoder-1.0-64x64,Adam,"{'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}",AdversarialLoss+MeanAbsoluteError,"[{'training_idx': 2}, None]","{'loss_weights': [10, 1], 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 5, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",rafael_cifar_10,Cifar 10 with bad quality,{},"{'best_loss': 0.0414787977933883, 'best_loss_epoch': 2, 'best_val_loss': 0.0005271873669698, 'best_val_loss_epoch': 2, 'best_ssim_metric': 0.0076536564156413, 'best_ssim_metric_epoch': 0, 'best_val_ssim_metric': 0.0124270562082529, 'best_val_ssim_metric_epoch': 0, 'last_loss': 52.51347351074219, 'last_ssim_metric': 0.0029867303092032, 'last_epoch': 4}",2022-01-23,16:16
8,AutoEncoder-1.0-64x64,Adam,"{'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}",L1AdversarialLoss,"{'w1': 2, 'w2': 1, 'training_idx': 2}","{'loss_weights': None, 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 32, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",rafael_cifar_10,Cifar 10 with bad quality,{},"{'best_loss': 8.347532272338867, 'best_loss_epoch': 28, 'best_val_loss': 8.287412643432617, 'best_val_loss_epoch': 27, 'best_ssim_metric': 0.8346156477928162, 'best_ssim_metric_epoch': 18, 'best_val_ssim_metric': 0.8360624313354492, 'best_val_ssim_metric_epoch': 25, 'last_loss': 10.831672668457031, 'last_ssim_metric': 0.7467126846313477, 'last_epoch': 31}",2022-01-26,00:56
9,Discriminator-AutoEncoder-1.0-64x64,Adam,"{'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}",BinaryCrossentropy,,"{'loss_weights': None, 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 15, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",discriminator_training_set,images with label 1 and 0 for real and fake imgs respectively,"{'training_idx': 10, 'generator_name': None, 'custom_objs': None, 'dataset': 'rafael_cifar_10'}","{'best_loss': 0.0024999640882015, 'best_loss_epoch': 0, 'best_val_loss': 6.5677070310234186e-21, 'best_val_loss_epoch': 0, 'best_accuracy': 0.9996799826622008, 'best_accuracy_epoch': 4, 'best_val_accuracy': 1.0, 'best_val_accuracy_epoch': 0, 'last_loss': 0.0107914097607135, 'last_accuracy': 0.9972299933433532, 'last_epoch': 14}",2022-01-26,01:23
10,AutoEncoder-1.0-64x64,Adam,"{'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}",L1AdversarialLoss,"{'w1': 2, 'w2': 1, 'training_idx': 9}","{'loss_weights': None, 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 22, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",rafael_cifar_10,Cifar 10 with bad quality,{},"{'best_loss': 8.493910789489746, 'best_loss_epoch': 21, 'best_val_loss': 8.462896347045898, 'best_val_loss_epoch': 21, 'best_ssim_metric': 0.8303765654563904, 'best_ssim_metric_epoch': 21, 'best_val_ssim_metric': 0.8301406502723694, 'best_val_ssim_metric_epoch': 21, 'last_loss': 8.493910789489746, 'last_ssim_metric': 0.8303765654563904, 'last_epoch': 21}",2022-01-26,01:24
11,AutoEncoder-0.2-64x64,Adam,"{'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}",LSSIM,"{'max_val': 255, 'filter_size': 9, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03}","{'loss_weights': None, 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 15, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",rafael_cifar_10,Cifar 10 with bad quality,{},"{'best_loss': 0.1817297339439392, 'best_loss_epoch': 14, 'best_val_loss': 0.1812468618154525, 'best_val_loss_epoch': 14, 'best_ssim_metric': 0.8182713389396667, 'best_ssim_metric_epoch': 14, 'best_val_ssim_metric': 0.8187534809112549, 'best_val_ssim_metric_epoch': 14, 'last_loss': 0.1817297339439392, 'last_ssim_metric': 0.8182713389396667, 'last_epoch': 14}",2022-02-11,19:21
12,Conv-3.2-64x64,Adam,"{'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}",LSSIM,"{'max_val': 255, 'filter_size': 9, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03}","{'loss_weights': None, 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 15, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",rafael_cifar_10,Cifar 10 with bad quality,{},"{'best_loss': 0.1851525604724884, 'best_loss_epoch': 14, 'best_val_loss': 0.1847477108240127, 'best_val_loss_epoch': 13, 'best_ssim_metric': 0.8148475885391235, 'best_ssim_metric_epoch': 14, 'best_val_ssim_metric': 0.8152521252632141, 'best_val_ssim_metric_epoch': 13, 'last_loss': 0.1851525604724884, 'last_ssim_metric': 0.8148475885391235, 'last_epoch': 14}",2022-02-11,19:46
13,Conv-1.1-64x64,Adam,"{'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}",LSSIM,"{'max_val': 255, 'filter_size': 9, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03}","{'loss_weights': None, 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 15, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",rafael_cifar_10,Cifar 10 with bad quality,{},"{'best_loss': 0.2225935757160186, 'best_loss_epoch': 14, 'best_val_loss': 0.2226733416318893, 'best_val_loss_epoch': 12, 'best_ssim_metric': 0.7774056196212769, 'best_ssim_metric_epoch': 14, 'best_val_ssim_metric': 0.777326226234436, 'best_val_ssim_metric_epoch': 12, 'last_loss': 0.2225935757160186, 'last_ssim_metric': 0.7774056196212769, 'last_epoch': 14}",2022-02-11,20:06
14,Conv-2.1-64x64,Adam,"{'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}",LSSIM,"{'max_val': 255, 'filter_size': 9, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03}","{'loss_weights': None, 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 15, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",rafael_cifar_10,Cifar 10 with bad quality,{},"{'best_loss': 0.1923377513885498, 'best_loss_epoch': 14, 'best_val_loss': 0.1919981986284256, 'best_val_loss_epoch': 14, 'best_ssim_metric': 0.8076621294021606, 'best_ssim_metric_epoch': 14, 'best_val_ssim_metric': 0.8080019354820251, 'best_val_ssim_metric_epoch': 14, 'last_loss': 0.1923377513885498, 'last_ssim_metric': 0.8076621294021606, 'last_epoch': 14}",2022-02-11,20:29
15,Conv-3.0-64x64,Adam,"{'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}",LSSIM,"{'max_val': 255, 'filter_size': 9, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03}","{'loss_weights': None, 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 15, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",rafael_cifar_10,Cifar 10 with bad quality,{},"{'best_loss': 0.1976587474346161, 'best_loss_epoch': 14, 'best_val_loss': 0.1974711418151855, 'best_val_loss_epoch': 14, 'best_ssim_metric': 0.802341103553772, 'best_ssim_metric_epoch': 14, 'best_val_ssim_metric': 0.8025293350219727, 'best_val_ssim_metric_epoch': 14, 'last_loss': 0.1976587474346161, 'last_ssim_metric': 0.802341103553772, 'last_epoch': 14}",2022-02-11,20:51
16,Conv-2.0-64x64,Adam,"{'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}",LSSIM,"{'max_val': 255, 'filter_size': 9, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03}","{'loss_weights': None, 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 15, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",rafael_cifar_10,Cifar 10 with bad quality,{},"{'best_loss': 0.2063318789005279, 'best_loss_epoch': 14, 'best_val_loss': 0.206196442246437, 'best_val_loss_epoch': 13, 'best_ssim_metric': 0.7936675548553467, 'best_ssim_metric_epoch': 14, 'best_val_ssim_metric': 0.7938039302825928, 'best_val_ssim_metric_epoch': 13, 'last_loss': 0.2063318789005279, 'last_ssim_metric': 0.7936675548553467, 'last_epoch': 14}",2022-02-11,21:50
17,Conv-3.1-64x64,Adam,"{'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}",LSSIM,"{'max_val': 255, 'filter_size': 9, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03}","{'loss_weights': None, 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 15, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",rafael_cifar_10,Cifar 10 with bad quality,{},"{'best_loss': 0.1857891082763672, 'best_loss_epoch': 14, 'best_val_loss': 0.1853700876235962, 'best_val_loss_epoch': 12, 'best_ssim_metric': 0.8142110109329224, 'best_ssim_metric_epoch': 14, 'best_val_ssim_metric': 0.8146297335624695, 'best_val_ssim_metric_epoch': 12, 'last_loss': 0.1857891082763672, 'last_ssim_metric': 0.8142110109329224, 'last_epoch': 14}",2022-02-11,22:09
18,AutoEncoder-0.3-64x64,Adam,"{'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}",LSSIM,"{'max_val': 255, 'filter_size': 9, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03}","{'loss_weights': None, 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 15, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",rafael_cifar_10,Cifar 10 with bad quality,{},"{'best_loss': 0.1697375327348709, 'best_loss_epoch': 14, 'best_val_loss': 0.1687128692865371, 'best_val_loss_epoch': 13, 'best_ssim_metric': 0.8302627205848694, 'best_ssim_metric_epoch': 14, 'best_val_ssim_metric': 0.8312869071960449, 'best_val_ssim_metric_epoch': 13, 'last_loss': 0.1697375327348709, 'last_ssim_metric': 0.8302627205848694, 'last_epoch': 14}",2022-02-11,22:28
19,AutoEncoder-0.0-64x64,Adam,"{'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}",LSSIM,"{'max_val': 255, 'filter_size': 9, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03}","{'loss_weights': None, 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 15, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",rafael_cifar_10,Cifar 10 with bad quality,{},"{'best_loss': 0.1977832019329071, 'best_loss_epoch': 14, 'best_val_loss': 0.1973785758018493, 'best_val_loss_epoch': 14, 'best_ssim_metric': 0.8022183775901794, 'best_ssim_metric_epoch': 14, 'best_val_ssim_metric': 0.8026213645935059, 'best_val_ssim_metric_epoch': 14, 'last_loss': 0.1977832019329071, 'last_ssim_metric': 0.8022183775901794, 'last_epoch': 14}",2022-02-11,22:47
20,Conv-3.3-64x64,Adam,"{'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}",LSSIM,"{'max_val': 255, 'filter_size': 9, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03}","{'loss_weights': None, 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 15, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",rafael_cifar_10,Cifar 10 with bad quality,{},"{'best_loss': 0.1697265356779098, 'best_loss_epoch': 14, 'best_val_loss': 0.1688070893287658, 'best_val_loss_epoch': 12, 'best_ssim_metric': 0.8302732706069946, 'best_ssim_metric_epoch': 14, 'best_val_ssim_metric': 0.8311928510665894, 'best_val_ssim_metric_epoch': 12, 'last_loss': 0.1697265356779098, 'last_ssim_metric': 0.8302732706069946, 'last_epoch': 14}",2022-02-11,23:07
21,Conv-4.1-64x64,Adam,"{'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-07, 'amsgrad': False}",LSSIM,"{'max_val': 255, 'filter_size': 9, 'filter_sigma': 1.5, 'k1': 0.01, 'k2': 0.03}","{'loss_weights': None, 'weighted_metrics': None, 'run_eagerly': None, 'steps_per_execution': None}","{'batch_size': 20, 'epochs': 15, 'verbose': 1, 'validation_split': 0, 'shuffle': True, 'class_weight': None, 'sample_weight': None, 'steps_per_epoch': None, 'validation_steps': None, 'validation_batch_size': None, 'validation_freq': 1, 'max_queue_size': 10, 'workers': 1, 'use_multiprocessing': False}",rafael_cifar_10,Cifar 10 with bad quality,{},"{'best_loss': 0.1730501353740692, 'best_loss_epoch': 14, 'best_val_loss': 0.1727993637323379, 'best_val_loss_epoch': 14, 'best_ssim_metric': 0.8269506096839905, 'best_ssim_metric_epoch': 14, 'best_val_ssim_metric': 0.827200710773468, 'best_val_ssim_metric_epoch': 14, 'last_loss': 0.1730501353740692, 'last_ssim_metric': 0.8269506096839905, 'last_epoch': 14}",2022-02-11,23:28
